SIG Question,Response,Standards Context
2546,Does the anti-malware policy or program include defined antivirus configuration requirements including required modules/components?,Yes,"Heading: VIII. Endpoint Security Standard, Content: This section applies to Institutionally Owned Devices. These requirements are commensurate with risk and must be applied to the extent that they are practical.; Heading: II. IT Security Program Standard, Content: 2.1 Institutions must implement a Security Policy and an associated Security Program. The Security Program must be documented and monitored. The CIO or designee must approve institutional security policies. Institutions must periodically assess IT security controls for effectiveness, develop and implement plans for corrective action, and monitor the effectiveness of information security controls on an ongoing basis.
2.2 Procedures required by the USM IT Security Standards must be documented.
2.3 Institutions must have a formal process for the periodic assessment of risk to operations, assets, individuals and reputation, resulting from the operation of information systems and the associated processing, storage, or transmission of confidential information. Once developed, the institutional risk assessment must be reviewed annually for changes in the risk environment; and at least every four years, the institutional risk assessment must be fully updated and revised. The institutional risk assessment process must include identification of systems that process and/or store confidential information, as defined in ""Appendix A: Information Classification"", and other high-risk systems. Institutional risk assessment processes will be based on the application of the framework in NIST SP 800-37, Risk Management Framework for Information Systems and Organizations. The institutional risk assessment must include a list of systems and other services defined as ""high-risk"" by the institution.; Heading: II. IT Security Program Standard, Content: A security awareness program is an essential element of a Security Program. An awareness program should be tailored to address risks identified for an institution's environment."
2547,Does the anti-malware policy or program prohibit disabling anti-malware with exceptions requiring security approval and re-enablement as soon as possible?,Yes,"Heading: 9.3 Third-party contracts should include the following as applicable:, Content: o The unilateral right of the Service Provider to limit, suspend, or terminate the service (with or without notice and for any reason).
· Requirement that the Service Provider make available audit logs recording privileged user and regular user access activities, authorized and unauthorized access attempts, system exceptions, and information security events (as available) [reference Section III - Auditability Standard]
o A disclaimer of liability for third-party action.; Heading: VIII. Endpoint Security Standard, Content: 8.1 Controls must be implemented on all endpoints:
· Implement appropriate solutions that detect malware and update automatically to identify new threats.
· User ID/password, Complex Passcode, Biometric, or other widely accepted authentication technology must be required to access the device.
· Host-based firewalls should be operational and properly configured to protect the device when it is outside of the secured institutional network.
8.2 Identify confidential information stored on systems. Where possible and practical, institutions must minimize the storage of confidential information on endpoint systems.
8.3 Implement and document processes for managing exposure to vulnerabilities through the timely deployment of operating system and application patches.
8.4 Using a risk-based approach, implement and document processes that minimize provisioning of local administrative rights so that only those employees who require it are given those rights.
8.5 The institution must establish a procedure for reporting lost/stolen devices and the ability to remotely locate lost/stolen devices.
8.6 The institution must establish a procedure for the remote removal of institutionallyowned data from devices.; Heading: VIII. Endpoint Security Standard, Content: This section applies to Institutionally Owned Devices. These requirements are commensurate with risk and must be applied to the extent that they are practical."
2548,"Is there a defined procedure to identify and correct systems without anti-malware software, performed at least weekly?",Yes,"Heading: VIII. Endpoint Security Standard, Content: 8.1 Controls must be implemented on all endpoints:
· Implement appropriate solutions that detect malware and update automatically to identify new threats.
· User ID/password, Complex Passcode, Biometric, or other widely accepted authentication technology must be required to access the device.
· Host-based firewalls should be operational and properly configured to protect the device when it is outside of the secured institutional network.
8.2 Identify confidential information stored on systems. Where possible and practical, institutions must minimize the storage of confidential information on endpoint systems.
8.3 Implement and document processes for managing exposure to vulnerabilities through the timely deployment of operating system and application patches.
8.4 Using a risk-based approach, implement and document processes that minimize provisioning of local administrative rights so that only those employees who require it are given those rights.
8.5 The institution must establish a procedure for reporting lost/stolen devices and the ability to remotely locate lost/stolen devices.
8.6 The institution must establish a procedure for the remote removal of institutionallyowned data from devices.; Heading: II. IT Security Program Standard, Content: 2.1 Institutions must implement a Security Policy and an associated Security Program. The Security Program must be documented and monitored. The CIO or designee must approve institutional security policies. Institutions must periodically assess IT security controls for effectiveness, develop and implement plans for corrective action, and monitor the effectiveness of information security controls on an ongoing basis.
2.2 Procedures required by the USM IT Security Standards must be documented.
2.3 Institutions must have a formal process for the periodic assessment of risk to operations, assets, individuals and reputation, resulting from the operation of information systems and the associated processing, storage, or transmission of confidential information. Once developed, the institutional risk assessment must be reviewed annually for changes in the risk environment; and at least every four years, the institutional risk assessment must be fully updated and revised. The institutional risk assessment process must include identification of systems that process and/or store confidential information, as defined in ""Appendix A: Information Classification"", and other high-risk systems. Institutional risk assessment processes will be based on the application of the framework in NIST SP 800-37, Risk Management Framework for Information Systems and Organizations. The institutional risk assessment must include a list of systems and other services defined as ""high-risk"" by the institution.; Heading: VI. Disaster Recovery & Incident Response Standard, Content: This standard is intended to ensure that USM Institutions have documented procedures in place and are sufficiently prepared to address incidents and unforeseen circumstances which may cause negative impact on a USM institution. The procedures should detail the appropriate response to both Security Incidents and Service Interruptions (e.g. unavailability of mission-critical systems, networks, services, or personnel)."
2549,Does the anti-malware policy or program require a periodic configuration review performed at least quarterly and when a change is made to anti-malware standards?,Yes,"Heading: II. IT Security Program Standard, Content: 2.1 Institutions must implement a Security Policy and an associated Security Program. The Security Program must be documented and monitored. The CIO or designee must approve institutional security policies. Institutions must periodically assess IT security controls for effectiveness, develop and implement plans for corrective action, and monitor the effectiveness of information security controls on an ongoing basis.
2.2 Procedures required by the USM IT Security Standards must be documented.
2.3 Institutions must have a formal process for the periodic assessment of risk to operations, assets, individuals and reputation, resulting from the operation of information systems and the associated processing, storage, or transmission of confidential information. Once developed, the institutional risk assessment must be reviewed annually for changes in the risk environment; and at least every four years, the institutional risk assessment must be fully updated and revised. The institutional risk assessment process must include identification of systems that process and/or store confidential information, as defined in ""Appendix A: Information Classification"", and other high-risk systems. Institutional risk assessment processes will be based on the application of the framework in NIST SP 800-37, Risk Management Framework for Information Systems and Organizations. The institutional risk assessment must include a list of systems and other services defined as ""high-risk"" by the institution.; Heading: IX. Third-Party/Cloud Technology Services Standard, Content: 9.1 In conjunction with the Institution's procurement department and security team, stakeholders shall perform the following activities during the life-cycle of the thirdparty cloud technology service:
· Assess the risks associated with the third-party cloud service. Institutions must ensure that the security of a vendor's cloud solution provides comparable protection to a premises-based solution including the need to ensure confidentiality, integrity, availability, security, and privacy.
· Commensurate with the risk, request and, if available, obtain, review, and document control assessment reports performed by a recognized independent audit organization. Examples of acceptable control assessment reports include (but are not limited to):
PCI Security Standards
o AICPA SOC2/Type2
o ISO 27001/2 Certification
FedRAMP
9.2 Institutions must annually review the most recent control assessment reports as well as the providers' compliance with IT security, privacy, and availability deliverables; Heading: II. IT Security Program Standard, Content: 2.11 Institutions must report annually to the senior leadership of the institution on the risk posed to the institution by information technology, cybersecurity, and privacy to the institution. This report must be on record at the institution and must be available upon request from the USM."
2550,"Does outbound web traffic get scanned for malware and malicious/blacklisted sites, with any authorized exclusions documented?",Yes,
2551,"Does the anti-malware policy or program require approval from security and documentation of any folders, applications, and processes excluded from anti-malware scanning?",Yes,"Heading: II. IT Security Program Standard, Content: 2.8 Institutions must conduct quarterly vulnerability scans against institutionallymanaged high-risk servers and network devices (whether on-premise or in the cloud, consistent with the institutional risk program), and those results must be submitted to USM Internal Audit.
2.9 Institutions must provide security awareness training that covers essential university system and institution-specific security policies and security procedures. All training activities must be documented. At a minimum, the documentation must include the name of the community member, date of training, and information about the training material delivered.; Heading: IX. Third-Party/Cloud Technology Services Standard, Content: 9.1 In conjunction with the Institution's procurement department and security team, stakeholders shall perform the following activities during the life-cycle of the thirdparty cloud technology service:
· Assess the risks associated with the third-party cloud service. Institutions must ensure that the security of a vendor's cloud solution provides comparable protection to a premises-based solution including the need to ensure confidentiality, integrity, availability, security, and privacy.
· Commensurate with the risk, request and, if available, obtain, review, and document control assessment reports performed by a recognized independent audit organization. Examples of acceptable control assessment reports include (but are not limited to):
PCI Security Standards
o AICPA SOC2/Type2
o ISO 27001/2 Certification
FedRAMP
9.2 Institutions must annually review the most recent control assessment reports as well as the providers' compliance with IT security, privacy, and availability deliverables; Heading: VIII. Endpoint Security Standard, Content: 8.1 Controls must be implemented on all endpoints:
· Implement appropriate solutions that detect malware and update automatically to identify new threats.
· User ID/password, Complex Passcode, Biometric, or other widely accepted authentication technology must be required to access the device.
· Host-based firewalls should be operational and properly configured to protect the device when it is outside of the secured institutional network.
8.2 Identify confidential information stored on systems. Where possible and practical, institutions must minimize the storage of confidential information on endpoint systems.
8.3 Implement and document processes for managing exposure to vulnerabilities through the timely deployment of operating system and application patches.
8.4 Using a risk-based approach, implement and document processes that minimize provisioning of local administrative rights so that only those employees who require it are given those rights.
8.5 The institution must establish a procedure for reporting lost/stolen devices and the ability to remotely locate lost/stolen devices.
8.6 The institution must establish a procedure for the remote removal of institutionallyowned data from devices."
2552,"Does the anti-malware policy or program require documentation of any folders, applications, and/or processes excluded from anti-malware scanning?",Yes,
2553,Are anti-malware standards reviewed and/or updated at least annually to account for new security features and threats?,Yes,"Heading: IX. Third-Party/Cloud Technology Services Standard, Content: 9.1 In conjunction with the Institution's procurement department and security team, stakeholders shall perform the following activities during the life-cycle of the thirdparty cloud technology service:
· Assess the risks associated with the third-party cloud service. Institutions must ensure that the security of a vendor's cloud solution provides comparable protection to a premises-based solution including the need to ensure confidentiality, integrity, availability, security, and privacy.
· Commensurate with the risk, request and, if available, obtain, review, and document control assessment reports performed by a recognized independent audit organization. Examples of acceptable control assessment reports include (but are not limited to):
PCI Security Standards
o AICPA SOC2/Type2
o ISO 27001/2 Certification
FedRAMP
9.2 Institutions must annually review the most recent control assessment reports as well as the providers' compliance with IT security, privacy, and availability deliverables; Heading: I. Introduction, Content: Originally published as a set of guidelines, this document was formally adopted as USM Standards by the Board of Regents on June 27, 2014.; Heading: II. IT Security Program Standard, Content: 2.11 Institutions must report annually to the senior leadership of the institution on the risk posed to the institution by information technology, cybersecurity, and privacy to the institution. This report must be on record at the institution and must be available upon request from the USM."
2554,Are Anti-malware software version and engine upgrade deployment failures reviewed at least weekly?,Yes,
2555,Are whitelisted and/or blacklisted applications documented and enforced?,Yes,"Heading: 9.3 Third-party contracts should include the following as applicable:, Content: · Requirements for recovery of institutional resources such as data, software, hardware, configurations, and licenses at the termination of the contract.
Provisions stipulating that the third-party service provider is the owner or authorized user of their software and all of its components, and the thirdparty's software and all of its components, to the best of third-party's knowledge, do not violate any patent, trademark, trade secret, copyright or any other right of ownership of any other party.
· Service level agreements including provisions for non-compliance.
· Provisions that stipulate that all institutional data remains the property of the institution.
· Provisions that block the secondary use of institutional data.
· Provisions that require the consent of the institution prior to sharing institutional data with any third parties.
Provisions that manage the retention and destruction requirements related to institutional data.
· Requirements to establish and maintain industry standard technical and organizational measures to protect against:
· Provisions that require any vendor to disclose any subcontractors related to their services.
o accidental destruction, loss, alteration, or damage to the materials;
unauthorized access to confidential information
o unauthorized access to the services and materials; and
industry known system attacks (e.g., hacker and virus attacks)
· Requirements for reporting any confirmed or suspected breach of institutional data to the institution.
· Requirements that the institution be given notice of any government or third-party subpoena requests prior to the contractor answering a request.
· The right of the Institution or an appointed audit firm to audit the vendor's security related to the processing, transport, or storage of institutional data.
· Requirement that the Service Provider must periodically make available a third-party review that satisfies the professional requirement of being performed by a recognized independent audit organization (refer to 9.1). In addition, the Service Provider should make available evidence of their business continuity and disaster recovery capabilities to mitigate the impact of a realized risk.
· Requirement that the Service Provider ensure continuity of services in the event of the company being acquired or a change in management.
· Requirement that the contract does not contain the following provisions:; Heading: 9.3 Third-party contracts should include the following as applicable:, Content: o The unilateral right of the Service Provider to limit, suspend, or terminate the service (with or without notice and for any reason).
· Requirement that the Service Provider make available audit logs recording privileged user and regular user access activities, authorized and unauthorized access attempts, system exceptions, and information security events (as available) [reference Section III - Auditability Standard]
o A disclaimer of liability for third-party action.; Heading: II. IT Security Program Standard, Content: 2.12 USM institutions must develop acceptable use policies that address the responsible use of institutional computing resources, including electronic mail, network services, electronic documents, information, software, and other resources.
2.13 Each USM institution shall have personnel designated for providing official notices of IT incidents and advisories to the institutional user community. Only these personnel will send such messages.
2.14 Institutions must comply with the Digital Millennium Copyright Act and designate a single point of contact for inquiries about copyright violations.
2.15 Institutions must establish a policy and implement measures to protect Confidential Information from disclosure in conformance with applicable State of Maryland and federal laws. These include having an institutional acceptable use policy, not using confidential information as identifiers, and having an institutional confidentiality/non-disclosure policy or requiring non-disclosure agreements prior to granting employees access to confidential data."
2556,Do configuration management policies and procedures include a process for automatically updating malicious code protection mechanisms as new releases become available?,Yes,"Heading: VIII. Endpoint Security Standard, Content: 8.1 Controls must be implemented on all endpoints:
· Implement appropriate solutions that detect malware and update automatically to identify new threats.
· User ID/password, Complex Passcode, Biometric, or other widely accepted authentication technology must be required to access the device.
· Host-based firewalls should be operational and properly configured to protect the device when it is outside of the secured institutional network.
8.2 Identify confidential information stored on systems. Where possible and practical, institutions must minimize the storage of confidential information on endpoint systems.
8.3 Implement and document processes for managing exposure to vulnerabilities through the timely deployment of operating system and application patches.
8.4 Using a risk-based approach, implement and document processes that minimize provisioning of local administrative rights so that only those employees who require it are given those rights.
8.5 The institution must establish a procedure for reporting lost/stolen devices and the ability to remotely locate lost/stolen devices.
8.6 The institution must establish a procedure for the remote removal of institutionallyowned data from devices.; Heading: II. IT Security Program Standard, Content: 2.1 Institutions must implement a Security Policy and an associated Security Program. The Security Program must be documented and monitored. The CIO or designee must approve institutional security policies. Institutions must periodically assess IT security controls for effectiveness, develop and implement plans for corrective action, and monitor the effectiveness of information security controls on an ongoing basis.
2.2 Procedures required by the USM IT Security Standards must be documented.
2.3 Institutions must have a formal process for the periodic assessment of risk to operations, assets, individuals and reputation, resulting from the operation of information systems and the associated processing, storage, or transmission of confidential information. Once developed, the institutional risk assessment must be reviewed annually for changes in the risk environment; and at least every four years, the institutional risk assessment must be fully updated and revised. The institutional risk assessment process must include identification of systems that process and/or store confidential information, as defined in ""Appendix A: Information Classification"", and other high-risk systems. Institutional risk assessment processes will be based on the application of the framework in NIST SP 800-37, Risk Management Framework for Information Systems and Organizations. The institutional risk assessment must include a list of systems and other services defined as ""high-risk"" by the institution.; Heading: II. IT Security Program Standard, Content: 2.4 Institutions will perform an institutional risk assessment and reasonably address the risks posed by confidential information on personal or contractor-owned devices and services.
2.5 Institutions must have documented Change Management procedures in place. Changes with material impact on the security of high-risk IT assets (e.g., firewall rules changes, granting of administrative rights, etc…) must be tracked, reviewed, and approved by a person who does not have a conflict of interest in the approval.
2.6 Institutions must develop and promulgate a Data Classification Policy. The policy must define classes of data that the institution considers to be a risk and the classes"
2557,"Is Unix or Linux used to process, store data or used for scoped services?",Yes,
2558,Are users required to 'su' or 'sudo' into root?,Yes,
2559,Does remote su/root access require multi-factor authentication?,Yes,"Heading: The Access Control Standard applies to all systems, including those that contain confidential information., Content: 4.6 Institutions must either adopt a plan to implement multi-factor authentication (MFA) that includes consideration of high-risk systems and user access privileges, or have MFA in place for such systems.
4.7 The functions of system administration, programming, processing/authorizing business transactions, and security administration must be segregated for high-risk systems. This provides for the appropriate separation of duties. If not possible, compensating controls must be established to mitigate the risk.
4.8 Third party and/or vendor access to high-risk systems must be approved and controlled by the department(s) that directly manage the system or software being accessed.; Heading: The Access Control Standard applies to all systems, including those that contain confidential information., Content: 4.4 For systems utilizing authentication, institutions must implement session locking after an institutionally defined period of inactivity and retain the session lock until access is reestablished using established authentication and authorization procedures.
4.5 Users must adhere to institutional password usage, construction, and change requirements. Systems must comply with EITHER (4.5.a or 4.5.b) AND (4.5.c) below:
a. Meet the eAuth guidelines as outlined in 800-63-3B Section 5.1.1.2 Memorized Secret Authenticators;; Heading: The Access Control Standard applies to all systems, including those that contain confidential information., Content: Considering the diverse computing environments at USM institutions, the following password requirements are dependent upon operational capabilities of a particular system. Systems which cannot meet the password requirements below must have a risk assessment in place accepted by the institution and should have mitigating controls in place."
2560,Is modification of startup and shutdown scripts restricted to root-level users?,Yes,
2561,"Are AS/400s used to process, store data or used for scoped services?",No,
2562,"Do group profile assignments consider the roles of the constituents, and are these assignments approved?",Yes,
2563,Are group profile assignments approved?,Yes,"Heading: II. IT Security Program Standard, Content: 2.4 Institutions will perform an institutional risk assessment and reasonably address the risks posed by confidential information on personal or contractor-owned devices and services.
2.5 Institutions must have documented Change Management procedures in place. Changes with material impact on the security of high-risk IT assets (e.g., firewall rules changes, granting of administrative rights, etc…) must be tracked, reviewed, and approved by a person who does not have a conflict of interest in the approval.
2.6 Institutions must develop and promulgate a Data Classification Policy. The policy must define classes of data that the institution considers to be a risk and the classes; Heading: The Access Control Standard applies to all systems, including those that contain confidential information., Content: 4.1 There must be documented procedures for creating, managing, and rescinding user accounts. At a minimum, these procedures should address:
· The eligibility criteria for obtaining an account
The processes for creating and managing accounts including the process for obtaining users' agreement regarding the acceptable use policy
· The processes for managing the retention of user account information
· The institution must, at least annually, audit user accounts with access to confidential data to confirm that the privileges granted to each user are appropriate.
All user account access to institutional information technology systems, including access for outside contractors, must be limited based on risk to the institution and the privileges needed to fulfill the institutional roles of the user
· As an individual's relationship to the institution changes, institutions must modify or remove access to systems and information as appropriate based on established processes.
4.2 Institutions must implement authentication and authorization processes that uniquely identify all users and appropriately control access to high-risk systems.
4.3 Prohibit group or shared IDs, unless they are documented as Functional IDs. Where possible, individual accounts should be used to provide accountability for administrative changes. Additionally, non-privileged accounts or roles need to be used when accessing non-administrative functions.; Heading: VIII. Endpoint Security Standard, Content: This section applies to Institutionally Owned Devices. These requirements are commensurate with risk and must be applied to the extent that they are practical."
2564,"Are Mainframes used to process, store data or used for scoped services?",Yes,
2565,"Is authentication required to access mainframe transactions or databases, and do personnel with privileged access to mainframe systems need it?",Yes,"Heading: The Access Control Standard applies to all systems, including those that contain confidential information., Content: 4.6 Institutions must either adopt a plan to implement multi-factor authentication (MFA) that includes consideration of high-risk systems and user access privileges, or have MFA in place for such systems.
4.7 The functions of system administration, programming, processing/authorizing business transactions, and security administration must be segregated for high-risk systems. This provides for the appropriate separation of duties. If not possible, compensating controls must be established to mitigate the risk.
4.8 Third party and/or vendor access to high-risk systems must be approved and controlled by the department(s) that directly manage the system or software being accessed.; Heading: The Access Control Standard applies to all systems, including those that contain confidential information., Content: 4.1 There must be documented procedures for creating, managing, and rescinding user accounts. At a minimum, these procedures should address:
· The eligibility criteria for obtaining an account
The processes for creating and managing accounts including the process for obtaining users' agreement regarding the acceptable use policy
· The processes for managing the retention of user account information
· The institution must, at least annually, audit user accounts with access to confidential data to confirm that the privileges granted to each user are appropriate.
All user account access to institutional information technology systems, including access for outside contractors, must be limited based on risk to the institution and the privileges needed to fulfill the institutional roles of the user
· As an individual's relationship to the institution changes, institutions must modify or remove access to systems and information as appropriate based on established processes.
4.2 Institutions must implement authentication and authorization processes that uniquely identify all users and appropriately control access to high-risk systems.
4.3 Prohibit group or shared IDs, unless they are documented as Functional IDs. Where possible, individual accounts should be used to provide accountability for administrative changes. Additionally, non-privileged accounts or roles need to be used when accessing non-administrative functions.; Heading: The Access Control Standard applies to all systems, including those that contain confidential information., Content: 4.4 For systems utilizing authentication, institutions must implement session locking after an institutionally defined period of inactivity and retain the session lock until access is reestablished using established authentication and authorization procedures.
4.5 Users must adhere to institutional password usage, construction, and change requirements. Systems must comply with EITHER (4.5.a or 4.5.b) AND (4.5.c) below:
a. Meet the eAuth guidelines as outlined in 800-63-3B Section 5.1.1.2 Memorized Secret Authenticators;"
2566,"Are Hypervisors used to manage systems used to transmit, process, or store scoped data e.g., cloud hosting?",Yes,"Heading: IX. Third-Party/Cloud Technology Services Standard, Content: Examples of third-party cloud technology services include:; Heading: X. Policy on Non-Institutionally-Owned Devices and Services, Content: Each institution must develop guidelines to govern the use of non-institutionally owned devices (such as personally owned laptops and other computing devices) and noninstitutionally purchased/controlled services (such as personally purchased file storage services) for access to institutional resources. These guidelines must address the following areas:; Heading: IX. Third-Party/Cloud Technology Services Standard, Content: This Standard is intended for USM Institutions that choose to outsource technology services to third-party cloud providers"
2567,Are all Hypervisors hardened and kept up-to-date with patches?,Yes,
2568,Are unnecessary/unused Hypervisor services turned off?,Yes,
2569,Are Hypervisor logs retained for a minimum of one year?,Yes,
2570,Does the Hypervisor system lock accounts after 3-5 invalid login attempts?,Yes,"Heading: The Access Control Standard applies to all systems, including those that contain confidential information., Content: 4.4 For systems utilizing authentication, institutions must implement session locking after an institutionally defined period of inactivity and retain the session lock until access is reestablished using established authentication and authorization procedures.
4.5 Users must adhere to institutional password usage, construction, and change requirements. Systems must comply with EITHER (4.5.a or 4.5.b) AND (4.5.c) below:
a. Meet the eAuth guidelines as outlined in 800-63-3B Section 5.1.1.2 Memorized Secret Authenticators;; Heading: The Access Control Standard applies to all systems, including those that contain confidential information., Content: b. Meet the following alternative requirements:
 Passwords must contain a mix of alphanumeric characters. Passwords must not consist of all digits, all special characters, or all alphabetic characters
 Minimum password length: 12 characters
 Automated controls must ensure that passwords are changed at least annually for general users, and at 90-day intervals for administrativelevel accounts
 User IDs associated with a password must be disabled for a period of time after not more than 6 consecutive failed login attempts. A minimum of 10 minutes is required for the reset period
c. Follow the following password management practices:
 Store and transmit only encrypted representation of passwords
 Password must not be the same as the user ID
 Password must not be displayed on screens
 Password reuse must be limited by not allowing the last 10 passwords to be reused. In addition, password age must be at least 2 days
 Initial passwords and password resets must be issued pre-expired forcing the user to change the password upon first use
 When a user password is reset or redistributed, the validation of the user identity must be at least as strong as when originally established
 Expired passwords must be changed before any other system activity is allowed; Heading: The Access Control Standard applies to all systems, including those that contain confidential information., Content: Considering the diverse computing environments at USM institutions, the following password requirements are dependent upon operational capabilities of a particular system. Systems which cannot meet the password requirements below must have a risk assessment in place accepted by the institution and should have mitigating controls in place."
2571,Is administrative access restricted to Hypervisor management interfaces?,Yes,
2572,Is the host operating system management interface on a separate network than those used by guest operating systems?,Yes,"Heading: V. Network Security Standard, Content: 5.1 Networked equipment shall be configured and maintained so as to not cause network performance degradation, not cause excessive, unwarranted traffic flows, and be suitably hardened against network security threats.
5.2 Appropriate controls for remote access services (e.g., VPN, VDI, Remote Desktop) must include logging of access and encryption of critical data in-transit.
· Remote access, execution of privileged commands, and any access to confidential data must be authorized prior to allowing connection.
· Remote access must be routed through managed access control points.
5.3 Banner text approved by Legal Counsel must be displayed at all system authentication points where initial user logon occurs, when technically possible and when doing so is not detrimental to the function of the network or system.
5.4 Networks must be protected by firewalls at identified points of interface based on system sensitivity and data classification. Firewalls should be configured to block all unneeded services, prevent direct access to hosts on trusted network from untrusted networks, and maintain audit trails. Management access must be encrypted and limited to designated personnel.
5.5 All network devices (e.g., switches, routers) should have all non-needed services disabled, or have compensating controls in place. Vendor-provided administrator username (if possible) and password must be changed.
5.6 Updates and patches must be installed on all network devices in a timeframe determined based on factors such as risk, interdependence, and/or prevention. Patches deemed ""critical"" must be installed as soon as possible/practical, no later than quarterly. Justification for delay or non-implementation of critical patches should be documented.
5.7 Implement ingress and egress filtering at the edge of the institution's network to prevent IP spoofing.
5.8 Institutions must establish automated and manual processes for intrusion prevention and/or detection.
· Host-based or network-based, must be utilized
· There must be an escalation plan based on commonly encountered events that include immediate response capability when appropriate
· Detection signatures must receive regular updates and remain current.
· Limit access to make configuration changes to appropriate personnel as defined by the institution.
If interrogation of encrypted network traffic is not technically feasible, compensating controls must be in place on high-risk systems.; Heading: VIII. Endpoint Security Standard, Content: 8.1 Controls must be implemented on all endpoints:
· Implement appropriate solutions that detect malware and update automatically to identify new threats.
· User ID/password, Complex Passcode, Biometric, or other widely accepted authentication technology must be required to access the device.
· Host-based firewalls should be operational and properly configured to protect the device when it is outside of the secured institutional network.
8.2 Identify confidential information stored on systems. Where possible and practical, institutions must minimize the storage of confidential information on endpoint systems.
8.3 Implement and document processes for managing exposure to vulnerabilities through the timely deployment of operating system and application patches.
8.4 Using a risk-based approach, implement and document processes that minimize provisioning of local administrative rights so that only those employees who require it are given those rights.
8.5 The institution must establish a procedure for reporting lost/stolen devices and the ability to remotely locate lost/stolen devices.
8.6 The institution must establish a procedure for the remote removal of institutionallyowned data from devices.; Heading: VII. Physical Security Standard, Content: 7.1 Campuses must perform a risk assessment of the physical access controls which are in place protecting the IT facilities (such as server rooms, network closets, and wiring cabinets). Commensurate with this risk assessment, appropriate physical access controls must be in place, such as:
· Escorting any individual who is not authorized to operate independently and unescorted in these secure IT facilities and observing their activities at all times while in said facility.
· Maintaining a list of all employees and third parties who are authorized to operate independently and unescorted in secure IT facilities as defined in Section 7.1
· Ensuring that all portable storage media containing confidential information such as hard drives, flash drives, magnetic tapes, laptops, and CDs are physically secured
· Ensuring that proper environmental and physical controls are established to prevent accidental or unintentional loss of critical information residing on IT systems
· Ensuring that physical access devices are controlled and managed appropriately, and (commensurate with risk) that physical access is auditable."
2573,Is sufficient information maintained in Hypervisor logs to evaluate incidents?,Yes,"Heading: III. Auditability Standard, Content: 3.2 Institutions must monitor all audit solutions to detect any audit system failures. Any failures of the audit solution must immediately be reported to appropriate officials for prompt resolution.
3.3 All on premises and 3 rd party systems must have synchronized clocks so that audit records can be accurately correlated between internal and external systems.
3.4 Access to audit information (e.g. SIEM logs) must be restricted in accordance with the principal of least privilege.
3.5 Commensurate with risk, institutions must utilize SIEM and/or other logging mechanisms to maintain audit trails of events and actions where possible.; Heading: III. Auditability Standard, Content: Examples of significant events which should be reviewed and documented (where possible) include additions/changes to critical applications, actions performed by administrative level accounts, additions and changes to users' access control profiles, and direct modifications to critical data outside of the application. Where it is not possible to maintain such audit trails, the willingness to accept the risk of not auditing such actions should be documented .; Heading: III. Auditability Standard, Content: 3.1 Commensurate with risk, institutions must maintain appropriate audit trails of events and actions related to all on premises and 3 rd party IT systems and physical access controls. Audit trails and events must be regularly monitored for indications of suspicious, unusual, unlawful, unauthorized, or inappropriate activity. Signs of compromise or other high-risk events must be immediately reported to appropriate officials for prompt resolution."
2574,"Are unneeded Hypervisor services disabled e.g., file-sharing between the guest and the host operating system?",Yes,
2575,Are Hypervisor standard builds/security compliance checks required?,Yes,"Heading: IX. Third-Party/Cloud Technology Services Standard, Content: 9.1 In conjunction with the Institution's procurement department and security team, stakeholders shall perform the following activities during the life-cycle of the thirdparty cloud technology service:
· Assess the risks associated with the third-party cloud service. Institutions must ensure that the security of a vendor's cloud solution provides comparable protection to a premises-based solution including the need to ensure confidentiality, integrity, availability, security, and privacy.
· Commensurate with the risk, request and, if available, obtain, review, and document control assessment reports performed by a recognized independent audit organization. Examples of acceptable control assessment reports include (but are not limited to):
PCI Security Standards
o AICPA SOC2/Type2
o ISO 27001/2 Certification
FedRAMP
9.2 Institutions must annually review the most recent control assessment reports as well as the providers' compliance with IT security, privacy, and availability deliverables; Heading: 9.3 Third-party contracts should include the following as applicable:, Content: · Requirements for recovery of institutional resources such as data, software, hardware, configurations, and licenses at the termination of the contract.
Provisions stipulating that the third-party service provider is the owner or authorized user of their software and all of its components, and the thirdparty's software and all of its components, to the best of third-party's knowledge, do not violate any patent, trademark, trade secret, copyright or any other right of ownership of any other party.
· Service level agreements including provisions for non-compliance.
· Provisions that stipulate that all institutional data remains the property of the institution.
· Provisions that block the secondary use of institutional data.
· Provisions that require the consent of the institution prior to sharing institutional data with any third parties.
Provisions that manage the retention and destruction requirements related to institutional data.
· Requirements to establish and maintain industry standard technical and organizational measures to protect against:
· Provisions that require any vendor to disclose any subcontractors related to their services.
o accidental destruction, loss, alteration, or damage to the materials;
unauthorized access to confidential information
o unauthorized access to the services and materials; and
industry known system attacks (e.g., hacker and virus attacks)
· Requirements for reporting any confirmed or suspected breach of institutional data to the institution.
· Requirements that the institution be given notice of any government or third-party subpoena requests prior to the contractor answering a request.
· The right of the Institution or an appointed audit firm to audit the vendor's security related to the processing, transport, or storage of institutional data.
· Requirement that the Service Provider must periodically make available a third-party review that satisfies the professional requirement of being performed by a recognized independent audit organization (refer to 9.1). In addition, the Service Provider should make available evidence of their business continuity and disaster recovery capabilities to mitigate the impact of a realized risk.
· Requirement that the Service Provider ensure continuity of services in the event of the company being acquired or a change in management.
· Requirement that the contract does not contain the following provisions:; Heading: VIII. Endpoint Security Standard, Content: This section applies to Institutionally Owned Devices. These requirements are commensurate with risk and must be applied to the extent that they are practical."
