SIG Question,Response,Additional Information
Does the organization use transparency tools such as data statements and model cards to document explanatory and validation information?,Yes,
Does the organization understand and consider sources of bias in training and TEVV data?,Yes,
"Does the organization document collection, use, management, and disclosure of personally sensitive information in datasets, in accordance with privacy and data governance policies?",Yes,
Does the organization assess effectiveness of metrics for identifying and measuring emergent risks?,Yes,
Does the organization measure error response times and track response quality?,Yes,
Does the organization elicit and track feedback from AI actors in incident response and support roles about the adequacy of staffing and resources to perform their duties in an effective and timely manner?,Yes,
Does the organization monitor internal queries to production data for detecting patterns that isolate personal records?,Yes,
Does the organization identify AI actors responsible for tracking emergent risks and inventory methods?,Yes,
"Does the organization determine and document the rate of occurrence and severity level for complex or difficult-to-measure risks when prioritizing new measurement approaches for deployment tasks, allocating AI system risk management resources, evaluating AI system improvements, and making go/no-go decisions for subsequent system iterations?",Yes,
Does the organization utilize feedback to analyze measurement approaches and Determine subsequent courses of action?,Yes,
"Does the organization identify and document approaches for evaluating and integrating elicited feedback from system end users, in collaboration with human-factors and socio-technical domain experts, and to actively inform a process of continual improvement?",No,
"Does the organization identify and implement approaches to measure effectiveness and satisfaction with end user elicitation techniques, and document results?",Yes,
"Does the organization evaluate feedback regarding end user satisfaction with, and confidence in, AI system performance including whether output is considered valid and reliable, and explainable and interpretable?",Yes,
"Does the organization identify mechanisms to confirm/support AI system output (e.g. recommendations), and end user perspectives about that output?",Yes,
Does the organization monitor PSI disclosures and inference of sensitive or legally protected attributes?,Yes,
Does the organization consider trustworthiness characteristics when evaluating AI systems for negative risks and benefits?,Yes,
Does the organization conduct fairness assessments to manage computational and statistical forms of bias?,Yes,
Does the organization monitor system outputs for performance or bias issues that exceed established tolerance levels?,Yes,
Does the organization establish processes for tracking emergent risks that may not be measurable with current approaches?,Yes,
"Does the organization regularly review risk tolerances and re-calibrate, as needed, in accordance with information from AI system monitoring and assessment?",Yes,
Does the organization assign risk management resources relative to established risk tolerance?,Yes,
Does the organization document AI risk tolerance determination practices and resource decisions?,Yes,
"Does the organization observe regulatory and established organizational, sector, discipline, or professional standards and requirements for applying risk tolerances within the organization?",Yes,
Does the organization identify risk response plans and resources and organizational teams for carrying out response functions?,Yes,
"Does the organization store risk management and system documentation in an organized, secure repository that is accessible by relevant AI actors and appropriate personnel?",Yes,
"Does the organization document residual risks within risk response plans, denoting risks that have been accepted, transferred, or subject to minimal mitigation?",No,
Does the organization establish procedures for disclosing residual risks to relevant downstream AI actors?,Yes,
Does the organization plan and implement risk management practices in accordance with established organizational risk tolerances?,Yes,
"Does the organization inform relevant downstream AI actors of requirements for safe operation, known limitations, and suggested warning labels as identified in MAP 3.4?",Yes,
"Does the organization verify risk management teams are resourced to carry out functions, including establishing processes for considering methods that are not automated; semi-automated; or other procedural alternatives for AI functions, enhance AI system transparency mechanisms for AI teams, and enable exploration of AI system limitations by AI teams, identify, assess, and catalog past failed designs and negative impacts or outcomes to avoid known failure modes?",Yes,
Does the organization establish mechanisms to capture feedback from system end users and potentially impacted groups?,Yes,
"Does the organization have risk controls in place for trustworthy data management, quality, and privacy? This involves minimizing data, handling rectification or deletion requests, and implementing machine learning and end-point security countermeasures. Business rules and domain expertise can augment, limit, or restrict AI system outputs. Standardized documentation, transparency, and software quality assurance practices are essential. Exploring limitations and avoiding past failures is crucial.",No,
Does the organization document risk tolerance decisions and risk acceptance procedures?,Yes,
"Does the organization ensure protocols, resources, and metrics are in place for continual monitoring of AI systems' performance, trustworthiness, and alignment with contextual norms and values?",Yes,
"Does the organization regularly review established procedures for AI system bypass actions, including plans for redundant or backup systems to ensure continuity of operational and/or business functionality?",Yes,
"Does the organization preserve materials for forensic, regulatory, and legal review?",Yes,
Does the organization decommission and preserve system components that cannot be updated to meet criteria for redeployment?,Yes,
"Does the organization establish processes for third parties to report known and potential vulnerabilities, risks or biases in supplied resources?",No,
"Does the organization establish procedures to regularly share information about errors, incidents and negative impacts with relevant stakeholders, operators, practitioners and users, and impacted parties?",Yes,
"Does the organization maintain a database of system changes, reason for change, and details of how the change was made, tested and deployed?",Yes,
"Does your organization have access control policies for suppliers, developers, and service providers that are passed down to sub-tier contractors?",Yes,
"Are access control policies stated for all service providers, and do contractors implement and enforce them for sub-tier contractors?",Yes,
"Does the organization ensure proper access control in its systems and supply chain, including sub-tier contractors, with consequences for violations?",Yes,
Can prime contractors restrict information sharing with sub-tier contractors in the supply chain?,Yes,
Have proper information system and supply chain separation of duties been implemented by prime contractors and passed down to their sub-tier contractors?,Yes,
"Is remote access restricted to employees and contractors during specific hours and locations and through secure VPN with multi-factor authentication, including sub-tier contractors when necessary?",Yes,
Does the organization have clear wireless access control policies for the supply chain and do they apply to sub-tier contractors?,Yes,
"Are access controls implemented for supported mobile devices, logistics, data systems, and components, and are these controls enforced for sub-tier contractors?",Yes,
"Is access to the supply chain from external information systems monitored and audited, and are prime contractors required to implement this control and flow down this requirement to relevant sub-tier contractors, if any?",Yes,
"Are information-sharing guidelines established by the organization, and are they communicated to sub-tier contractors?",Yes,
"Does the organization have procedures in place to screen publicly accessible information, such as Requests for Information, Requests for Proposals, or information about system and component delivery that is suitable for public consumption, either on its own or in conjunction with other materials?",Yes,
Is access control in place to support authorized supply chain access within the organization?,Yes,
"Are prime contractors required to implement access control and flow down this requirement to relevant sub-tier contractors, if any?",Yes,
"Is there a designated official within the organization responsible for managing, developing, documenting, and communicating the training policy and procedures, including Cybersecurity Supply Chain Risk Management (C-SCRM), as well as providing role-based training for those with supply chain responsibilities?",Yes,
"Does the organization ensure that its acquisition workforce personnel receive training on the necessary C-SCRM requirements, clauses, and evaluation factors for inclusion in procurement activities?",Yes,
"Is there a process for maintaining the documentation for C-SCRM-specific training, especially with regard to key personnel in acquisitions and counterintelligence?",Yes,
"Is this process required of relevant sub-tier contractors, if any?",Yes,
"Is there a designated person responsible for creating, documenting, and distributing auditing and accountability policies and protocols?",Yes,
"Does this apply to sub-tier contractors, if any, within the supply chain?",Yes,
Are there procedures and tools in place for recording any detectable incidents in the information system or supply chain network considered auditable supply chain events?,Yes,
Is it mandatory for prime contractors to implement this audit control and extend this requirement to sub-tier contractors?,Yes,
Does the organization have procedures and tools in place for documenting detectable incidents within the information system or supply chain network?,Yes,
"Does the organization require its prime contractors to implement this audit control and flow down this requirement to relevant sub-tier contractors, if any?",Yes,
"Does the organization have a secure process to handle and maintain records in compliance with retention requirements, ensuring the confidentiality of information and sources and preserving the integrity of findings in case they are needed for administrative or legal proceedings?",Yes,
"Is there a procedure to filter and correlate auditable events related to supply chain and information security, ensuring they are analyzed and reported appropriately within the organization, and is this procedure forwarded to relevant sub-tier contractors when present?",Yes,
Is the organization using non-repudiation techniques to safeguard the authenticity and integrity of information systems and the supply chain network?,Yes,
Does the organization have audit record generation mechanisms in place to generate audit records that capture all relevant supply chain events that can be audited?,Yes,
"Does the organization require its prime contractors to implement this control and flow down this requirement to relevant sub-tier contractors, if any?",Yes,
"Does the organization ensure that vendor agreements include a clause requiring them to notify the organization promptly and within the time frames specified by the organization, in the event of any potential or actual unauthorized disclosure?",Yes,
Does the organization enforce prime contractors to implement information disclosure control monitoring for their sub-level contractors?,Yes,
"Is it ensured by the organization that the contract language includes the necessary requirements for coordinating audit information requirements and information exchange agreements with vendors and is this contract requirement flowed to relevant sub-tier contractors, if any?",Yes,
"Does the organization require primary contractors to implement cross-organizational controls for logging and sharing of audit information with their sub-tier contractors, and are these requirements communicated to relevant sub-tier contractors?",Yes,
Does the organization's control assessment plan include controls for managing cybersecurity risks in the supply chain and are sub-tier contractors required to adhere to this scope?,Yes,
Does the organization collaborate with relevant service providers to ensure their system's information exchange requirements comply with security and privacy policies and regulations?,Yes,
Is this requirement for system data exchange communicated to contractors and sub-tier contractors?,Yes,
"Is there an organizational plan in place for system-level actions and milestones (POA&Ms) that ensures the inclusion of C-SCRM, information systems, and the supply chain in the POA&M for enterprises and is this POA&Ms requirement flowed to relevant sub-tier contractors, if any?",Yes,
"As part of the decision-making process, does the organization document and ensure that the C-SCRM POA&M includes its authorizing officials' authorization decisions in the authorization package?",Yes,
Is there a configuration management capability for the organization throughout the secure software development lifecycle (SSDLC) and supply chain to ensure that components are authentic and haven't been inappropriately modified?,Yes,
Has the organization established a baseline configuration for both the information system and development environment?,Yes,
"Are proper procedures in place to secure and manage critical components, systems, and networks?",Yes,
Is there a protocol in place in the organization that takes into account the information system and related systems and networks to determine if extra or different protection is required to maintain an acceptable level of cybersecurity risk across the supply chain?,Yes,
Are the physical and logical access restrictions for changes to the information systems included in the organization's implementation of access restrictions requirements?,Yes,
Does the organization have a documented process to monitor and manage changes to configuration settings for their information systems and networks throughout the software development life cycle (SDLC)?,Yes,
"Does the organization choose components that provide enough flexibility to specify and implement minor functionalities, which can help reduce the likelihood of surface attacks?",Yes,
"Does the organization ensure that the asset inventory of information systems and networks includes all the necessary details of critical component assets, such as hardware inventory specifications, software license information, software version numbers, component owners, networked components or devices, machine names, and network addresses?",Yes,
"Does the organization have a procedure for tracking, documenting, and assessing all software usage options, including open software?",No,
"Does the organization have procedures and tools in place to restrict access control and determine which geographic regions are authorized or prohibited for tasks such as backup and restoration, patching and updates, and sharing of information?",No,
"Is the organization's documented map of system data actions for personally identifiable information comprehensive enough to include sensitive or classified information, Internet of Things (IoT) devices, embedded or stand-alone IoT systems, as well as IoT system of data actions?",Yes,
Does the organization verify that the hardware and software components acquired are genuine and valid using digitally signed details from trusted certificate authorities?,Yes,
"Is the Cybersecurity Supply Chain Risk Management policy (C-SCRM) integrated into the contingency planning policy and the related SCRM Strategy/Implementation Plan, policies, and SCRM Plan of the organization?",Yes,
Has the organization established and put in place a contingency plan for their supply chain information systems and network?,Yes,
Is there a protocol in place to make sure that contingency training involves important suppliers?,Yes,
Is the organization conducting contingency testing that includes its critical suppliers?,Yes,
"Is there a process in place for the organization to assess whether additional cybersecurity supply chain controls are needed when its suppliers, developers, system integrators, external system service providers, and other ICT/OT-related service providers contemplate using different storage sites in the supply chain network?",Yes,
"Is there a process in place for the organization to determine if additional cybersecurity controls are necessary when its suppliers, developers, system integrators, external system service providers, and other ICT/OT-related service providers consider alternative processing sites within the supply chain network?",Yes,
Is there a backup telecommunication service provider available for the organization to ensure the smooth functioning of their critical supply chain information systems?,Yes,
"Is it ensured by the organization that critical suppliers are involved in contingency planning, training, and testing, as well as alternate communication protocol capabilities, to establish a resilient supply chain?",Yes,
"Is the organization regularly reviewing, improving, and updating its identity and access management policies and procedures to ensure that important roles and processes in the supply chain network are clearly defined and that its critical systems, components, and methods can be traced?",Yes,
Is the organization ensuring that users accessing an ICT/OT system or supply chain network have their identification and requirements defined and applied?,Yes,
Does the organization have measures in place to identify devices and software used in their supply chain and verify their authenticity?,Yes,
"Is there a system in place within the organization to assign unique identifiers to systems, individuals, documentation, devices, and components in its supply chain?",Yes,
"Is the organization responsible for managing the creation, monitoring, utilization, and withdrawal of identification credentials, as well as authenticating external users who are part of the supply chain?",Yes,
"Does the organization guarantee timely execution of identification and authentication tasks, particularly in the management of revocation, to reduce the likelihood of cybersecurity risks across the supply chain, including those caused by insider threats?",Yes,
Is there a system in place within the organization to guarantee that identification and authentication are clearly outlined and handled for accessing services throughout the supply chain?,Yes,
"Is Cybersecurity Supply Chain Risk Management (C-SCRM) included in the incident response policy, procedures, and related C-SCRM Strategy/Implementation Plans and Policies of the organization?",Yes,
Is there a procedure in place to ensure that critical (vital per NIST document) suppliers receive incident response training?,Yes,
Is it ensured by the organization that the critical suppliers partake in incident response testing?,Yes,
"Do the organization's supplier agreements contain provisions for tracking and documenting incidents, response decisions, and activities?",Yes,
"Is there an incident response plan in place for the organization that involves sharing information with critical suppliers and, in a federal context, interagency partners and the Federal Acquisition Security Council (FASC)?",Yes,
Is supply chain-related information spillage included in the organization's response plan for information spills?,No,"Yes, our response plan for information spills includes supply chain-related information spillage. We have established protocols to quickly identify and contain any potential breaches, and we work closely with our supply chain partners to ensure a coordinated response."
"Is it ensured by the organization that C-SCRM is incorporated into maintenance policies and procedures and any relevant SCRM Strategy/Implementation Plan, SCRM Policies, and SCRM Plan(s) for all enterprise information systems and networks?",Yes,
"Is there a procedure in place for integrating C-SCRM when the organization acquires or upgrades a maintenance tool, such as updating the development environment or testing tool?",Yes,
Do contractors provide non-local maintenance for the organization?,No,
"Is there a procedure in place for the organization to acquire spare parts, replacement parts, or alternative sources directly from the original equipment manufacturers (OEMs)?",Yes,
"Does the organization have a list of approved and trusted facilities, as well as extra security measures in place?",Yes,
Does the organization have a system in place to monitor the failure rates of its components?,Yes,
"Do the organization's media protection policies and procedures cover supply chain concerns, such as media within the supply chain and throughout the software development life cycle (SDLC)?",Yes,
Does media storage control encompass C-SCRM activities?,Yes,
Does the organization encompass C-SCRM activities when media is transported by organization personnel or non-personnel?,No,
"Does the organization have specified media sanitization policies for its suppliers, developers, system integrators, external system service providers, and other ICT/OT-related service providers that are included in agreements such as contracting language?",Yes,
Does the organization incorporate C-SCRM practices and requirements into its policies and procedures for physical and environmental protection?,Yes,"While we do incorporate C-SCRM practices into our policies and procedures, we have not yet fully implemented them across all of our facilities, which may leave some areas vulnerable to physical and environmental threats."
"Is the organization ensuring that only authorized individuals who require physical access are granted access to information, systems, or data centers throughout the supply chain (such as sensitive or classified ones)?",Yes,
Does the organization's physical access control encompass individuals and enterprises that are involved in the organization's supply chain?,Yes,
"Does the organization's monitoring process involve individuals who physically access the enterprise or external service provider's facilities, data centers, information, or physical asset(s)?",Yes,
"Do the company's security measures include protection against cybersecurity risks that may arise from employees or contractors who have access to the supply chain infrastructure, particularly when they are working from remote locations?",Yes,
"When considering alternative suppliers for information system components, does the organization consider the location of manufacturing, warehousing, and distribution facilities?",Yes,
"Does the organization use asset location technologies to track the movement of systems and components used for implementation, testing, maintenance, or disposal between different entities or storage facilities, in order to maintain a secure and reliable supply chain infrastructure?",Yes,
"Does the organization consider factors such as the location of facilities, including data centers, and physical protections when evaluating the risks associated with suppliers?",Yes,
Does the organization integrate C-SCRM when developing a security planning policy?,No,Our organization has a comprehensive security planning policy that incorporates C-SCRM principles. We have a dedicated team that ensures all our policies align with industry best practices and regulatory requirements.
Does the organization make sure that contractor organizations are accountable for ensuring that their employees comply with the relevant rules of conduct and access to agency systems or data is granted to individual contractors only after they have acknowledged and demonstrated compliance?,Yes,
"When the organization creates a concept of operations, does it consider how the system will operate with regard to C-SCRM?",Yes,
"Does the organization implement a zero-trust architecture and ensure that its security architects, developers/engineers, and system security engineers understand it?",Yes,
"Is the organization implementing a centralized approach to manage C-SCRM by using a C-SCRM Strategy and Implementation Plan at Level 1, C-SCRM Policy at Level 2, and an information system basis through the SSP and C-SCRM Plan at Level 3?",Yes,
"Is there a process in place within the organization, with the support of its C-SCRM PMO, for identifying, selecting, and implementing appropriate controls according to the C-SCRM requirements outlined for each level?",Yes,
"Does the organization have a system in place to ensure effective communication and collaboration among high-level staff, such as the CISO and CAO/SPE, to support C-SCRM coordination with the SCRM PMO or other related teams?",Yes,
"Does the organization incorporate C-SCRM requirements into significant IT investments, ensuring that funds are allocated appropriately through the capital planning and investment request process?",Yes,
Does the organization include C-SCRM items at all levels when developing a Plan of Action and Milestone (POA&M)?,Yes,
Does the organization ensure that its inventory system has accurate supplier information and require primary contractors to establish inventory controls that are passed down to lower-tier contractors?,Yes,
Is there a procedure for the organization to develop C-SCRM performance metrics in conjunction with relevant stakeholders?,Yes,
Is there a procedure in place for incorporating C-SCRM into the design and upkeep of the enterprise architecture within the organization?,Yes,
Is there a procedure in place for the inclusion of C-SCRM in the development and maintenance of a critical infrastructure plan within the organization?,Yes,
Has the organization's risk management strategy taken into account the cybersecurity risks that may exist throughout its supply chain?,Yes,
"When designing and implementing authorization processes, does the organization incorporate C-SCRM?",Yes,
Is C-SCRM integrated throughout the supply chain to achieve the organization's mission and business objectives?,Yes,
Does the organization's insider threat program include C-SCRM?,Yes,
Is there a process in place within the organization to ensure that the security and privacy workforce program incorporates pertinent C-SCRM topics into its content and initiatives?,Yes,
"Is there a system in place within the organization to ensure that plans for conducting supply chain risk testing, training and monitoring activities related to corporate systems are maintained?",Yes,
"Is there a procedure in place within the organization to manage security and privacy groups and associations that involve C-SCRM practitioners and individuals with C-SCRM duties, as well as the acquisition, legal, critical infrastructure, and supply chain groups and associations?",Yes,
"Does the organization have a comprehensive threat awareness program that includes potential supply chain threats, and do stakeholders have the ability to share knowledge within the information-sharing policy?",Yes,
Are external systems holding controlled unclassified information (CUI) policies protecting supply chain and organizational information?,Yes,
Is C-SCRM included in the organization's privacy program?,Yes,
Does the privacy program leadership role of the organization participate as a stakeholder in relevant C-SCRM initiatives and activities?,Yes,
Does the organization have processes to protect privacy program information from cybersecurity risks throughout the supply chain?,Yes,
Is the organization taking steps to manage cybersecurity risks related to personally identifiable information (PII) throughout the supply chain as part of its PII quality management?,Yes,
Is the organization equipped with measures to handle cybersecurity hazards that relate to personally identifiable information in the supply chain?,Yes,
"Does the organization have policies and procedures in place to incorporate security and privacy measures for C-SCRM into their complaint management system, especially when handling vendor complaints or complaints from the general public?",No,
"Does the organization have safeguards in place to ensure the security of the reporting process and mechanisms used to protect privacy, particularly against cybersecurity risks across the supply chain?",No,
Does the organization have a risk management program that includes C-SCRM responsibilities and promotes collaboration across the enterprise?,Yes,
"Does the organization have a plan for managing risk throughout the supply chain, including developing a detailed implementation plan that outlines specific initiatives and activities, along with timelines and responsible parties?",Yes,
Does the organization have a process in place to prevent extending internal and external systems throughout its supply chain that are originally assigned to support specific missions or business functions beyond their intended purpose?,Yes,
Do the security policies and plans clearly define personnel responsibilities for supply chain security risk management activities?,Yes,
Are there procedures or measures to reduce the risk of insider threats through the supply chain?,Yes,
"Has the organization created and recorded access agreements for external personnel, such as contractors, who might require access to the enterprise's data, systems, or network?",Yes,
Does the organization confirm that third-party personnel who access its information systems and networks meet the same security requirements as organization personnel?,Yes,
"Does the organization have policies in place to ensure that agreements clearly state the PII data to be shared, identify authorized personnel, specify protection measures, set retention period, and outline contract termination actions?",Yes,
Does the organization perform risk assessments at both the enterprise level and the mission/program and operational levels?,Yes,
Does the organization perform a criticality analysis during the software development life cycle (SDLC) to ensure that mission-critical functions are not compromised?,Yes,
"Does the organization's risk assessment process involve analyzing criticality, threats, vulnerabilities, likelihood, and impact?",Yes,
"Additionally, do they review and collect C-SCRM-specific roles, processes, and acquisition/integration results?",Yes,
Is the organization monitoring the vulnerability of its suppliers and service providers within the supply chain?,Yes,
"Does the organization have a procedure in place to incorporate measures for addressing cybersecurity risks across the supply chain into its overall response strategy, in line with its risk tolerance, and ensuring that these measures are synchronized and consistent?",Yes,
Does the organization perform a criticality analysis using the frame step of the C-SCRM process prior to assessing cybersecurity supply chain risks?,Yes,
Is the organization enhancing its internal threat-hunting capabilities by incorporating the C-SCRM threat-hunting activity requirements?,Yes,
"Are C-SCRM practices integrated into the organization's acquisition policy and procedures for the entire acquisition management life cycle, including purchases made using charge cards?",Yes,
Does the organization consider C-SCRM requirements when allocating resources?,Yes,
"Is the integration of C-SCRM activities into the SDLC ensured by the organization for itself and relevant suppliers, developers, system integrators, external system service providers, and other ICT/OT-related service providers?",Yes,
"Are the C-SCRM requirements, descriptions, and criteria included in the contractual agreements of the organization?",Yes,
"Does the organization make sure that all its information system documentation covers relevant C-SCRM concerns, such as the C-SCRM plan?",Yes,
"Is the organization managing cybersecurity risks in the supply chain with security engineering techniques, limited critical elements, and security mechanisms like encryption and access control?",Yes,
Does the organization have a procedure in place to investigate and confirm the source of components it intends to implement?,Yes,
Are there documented and formalized development processes in place for both internal and system integrator developers within the organization?,Yes,
Has the organization established formalized development processes and training to assist both internal and external developers in effectively managing cybersecurity risks within the supply chain?,Yes,
"Does the organization make use of C-SCRM information to influence decisions related to system architecture, design, and component selection, including security functions?",Yes,
Is the organization responsible for developing and managing custom software components that are crucial to its operations?,Yes,
Does the organization have a procedure in place to ensure that the screening process for its internal developers is suitable?,Yes,
"Is there a procedure in place for acquiring unsanctioned system components through alternative means, with involvement from the engineering team to consider the differences between various component options?",No,
"Do the organization's system and communications protection policies and procedures address cybersecurity risks throughout the supply chain regarding the enterprise's processes, systems, and networks?",Yes,
"Has the organization put in place a defined structure and procedure for exchanging information, which includes specifying the data being transferred, the sharing process, and the specific individuals responsible for receiving it?",Yes,"While we do have a defined structure and procedure for exchanging information, it is not as robust as it could be. We are currently working on improving our processes to ensure that all data being transferred is properly secured and that all individuals responsible for receiving it are properly trained."
"Is there a reliable system in place to monitor the connections between the organization's systems and those of your suppliers, developers, system integrators, external system service providers, and other ICT/OT-related service providers?",Yes,
"Is it required by the organization to include confidentiality and integrity requirements for transmission in agreements with suppliers, developers, system integrators, external system service providers, and other ICT/OT-related service providers?",Yes,
Are the applications used by the organization trusted and platform-independent?,Yes,
"Do the organization's agreements with suppliers, developers, system integrators, external system service providers, and other ICT/OT-related service providers include measures to safeguard information that is not currently in use?",Yes,
"Does the organization mandate that its primary contractors establish measures to safeguard information both at rest and in transit, and extend this obligation to relevant subcontractors?",Yes,
Does the organization use different methods to increase the security of its information system?,Yes,
Is the organization using concealment and misdirection techniques to improve the security of C-SCRM?,No,
"Is the organization utilizing distributed processing and storage methods in all areas of its systems and networks, as well as throughout the software development life cycle?",No,
Is there a process in place for the organization to obtain and provide relevant information about supply chain threats and vulnerabilities to the appropriate operational security processes?,Yes,
Is C-SCRM included in the organization's system and information integrity policy and procedures?,Yes,
Does the organization have a system in place to utilize flaw remediation actions and integrate the results into the ICT/OT SCRM procedures?,Yes,
"Is there a provision in the organization's service level agreements with its providers that addresses the monitoring of vulnerabilities, such as malicious code resulting from past supply chain cybersecurity breaches?",Yes,
"Does the organization have a procedure in place for assessing security alerts, advisories, and directives related to cybersecurity supply chain impacts?",Yes,
"Does the organization utilize digital signature or checksum verification, acceptance testing for physical elements, and restrict software to limited privilege environments to prevent any unexpected changes in the supply chain from affecting systems and components?",Yes,
"Is C-SCRM included in the organization's information management and retention requirements, especially when dealing with sensitive and proprietary information of system integrators, suppliers, or external service providers?",Yes,
Does the organization have a process for determining which products and services from suppliers are critical to the organization's missions and functions to assess the level of dependency on each supplier?,Yes,
"Is there a centrally managed Vulnerability Management Program and associated Policy that has been approved by management, communicated to appropriate constituents and an owner assigned to maintain and review the policy?",Yes,
Are network Vulnerability Scans performed against internal networks and systems?,Yes,
"Do internal network vulnerability scans occur periodically? Please define the frequency (e.g., monthly, quarterly, annually) in the additional information field.",Yes,
Do internal network vulnerability scans occur after a significant change?,Yes,
Are network vulnerability scans performed against internet-facing networks and systems periodically?,Yes,
"Do external network vulnerability scans occur periodically? Please define the frequency (e.g., monthly, quarterly, annually) in the additional information field.",Yes,
Do external network vulnerability scans occur after a change?,Yes,
Are vulnerabilities documented and tracked to remediation?,Yes,
Are exceptions and risk mitigation strategies for vulnerabilities tracked and approved by the Security group?,Yes,
Are penetration tests performed?,Yes,
"Are penetration tests performed periodically? Please define the frequency (e.g., monthly, quarterly, annually) in the additional information field.",No,
Are penetration tests performed by independently trained and experienced personnel?,Yes,
Do penetration tests procedures include manual in addition to automated procedures?,Yes,
Is penetration testing performed on external systems from the Internet?,Yes,
Are web applications included in penetration tests?,Yes,
Are penetration test issues documented and tracked to remediation?,Yes,
Is penetration testing performed after significant changes?,Yes,
Are network and system details provided to the tester (White-Box Test) in Penetration Tests?,No,
Are Penetration Testing issues risk-ranked for importance to the system and vulnerability identified?,Yes,
Are Penetration Testing exceptions and risk mitigation strategies tracked and approved by the security group?,Yes,
Are clients permitted to execute a penetration test of the external environment?,No,
Is penetration testing performed on internal systems from inside the network?,Yes,
Does penetration testing include attempted exploitation of vulnerabilities?,Yes,
Do penetration tests include password cracking attacks against available services?,Yes,
Are vulnerabilities ranked for importance to the system and vulnerability identified?,Yes,
"Does the organization maintain policies, standards, and procedures for identifying and managing cyber supply chain risks (i.e., ensuring software and hardware components used as part of delivering a service or product do not present a risk)?",Yes,
Does the organization conduct risk assessments to identify and address weaknesses or deficiencies in the supply chain?,Yes,
Does the organization have criteria and a process to update supply chain risk management policies and procedures based on internal or external events?,Yes,
Is there a documented process in place to detect backdoors present in software and hardware sourced from third parties used in the delivery of service?,Yes,
"Are software updates delivered to clients through automatic downloads (e.g., Windows Update, Live Update)?",Yes,
Are there policies and processes to secure threat and vulnerability assessment tools and the data they collect?,Yes,
Is there a documented process in place to protect against and detect attacks against automatic software update mechanisms?,Yes,
"Do the vulnerability assessment tools that collect and analyze data look for strategic, tactical and operational vulnerabilities and emerging threats?",Yes,
Are there malware detection tools to detect and identify if any known malware exists in the product or security update?,Yes,
Is there an anti-counterfeit policy and procedure to detect and prevent counterfeit components from entering the system?,Yes,
Are identified counterfeit components reported to external reporting organizations?,Yes,
Does your organization conduct technical surveillance countermeasure surveys?,Yes,
Does your organization utilize HETEROGENEITY within your operational systems?,Yes,
"When the organization establishes threat intelligence guidelines, do they include setting objectives, identifying information sources, gathering, processing and analyzing data, and communicating relevant information to constituents?",Yes,
"When the organization conducts threat intelligence activities, including analysis, do they gather information from other sources and use the intelligence collected to detect and prevent intrusion, and as an input to further information security testing processes?",Yes,
"Are servers used for transmitting, processing, or storing scoped data?",Yes,
"Are server security standards reviewed and/or updated at least annually to account for any changes in environment, available security features and/or leading practices?",Yes,
Are all unnecessary/unused services uninstalled or disabled on all servers?,Yes,
"Are vendor default passwords removed, disabled, or changed prior to placing any device or system into production?",Yes,
Are all systems and applications patched regularly?,Yes,
"Are there any Operating System versions in use within the Scoped Services that no longer have patches released? If yes, please describe in the Additional Information section.",No,
Are all available high-risk security patches applied and verified at least monthly on all server platforms?,Yes,
"Are all server patches, service packs and hot fixes tested prior to installation?",Yes,
Do patch management processes include evaluation and prioritization of vulnerabilities?,No,"Our patch management processes involve a thorough evaluation of vulnerabilities, prioritizing critical ones based on their potential impact and exploitability. This ensures that our patches are applied in a timely and effective manner to minimize risk."
"Are all server patching exceptions necessary, documented and approved?",Yes,
Do patch management processes include logging of patch successes and failures?,Yes,
Do patch management processes include priority patching of high-risk systems first?,Yes,
"Are Windows servers used to process, store data or used for scoped services?",Yes,
"Is there an anti-malware policy or program including a means of protection through the use of electronic transfer, that has been approved by management, communicated to appropriate constituents and has an owner to maintain, and review the policy?",Yes,
Has the organization deployed antivirus and anti-malware solutions?,Yes,
Does the approved anti-malware policy or program mandate an interval between the availability of a new anti-malware signature update and its deployment is no longer than 24 hours?,Yes,
Does the anti-malware policy or program include defined operating systems that require antivirus?,Yes,
Does the anti-malware policy or program include defined antivirus configuration requirements including required modules/components?,Yes,
Does the anti-malware policy or program prohibit disabling anti-malware with exceptions requiring security approval and re-enablement as soon as possible?,Yes,
"Is there a defined procedure to identify and correct systems without anti-malware software, performed at least weekly?",Yes,
Does the anti-malware policy or program require a periodic configuration review performed at least quarterly and when a change is made to anti-malware standards?,Yes,
"Does outbound web traffic get scanned for malware and malicious/blacklisted sites, with any authorized exclusions documented?",Yes,
"Does the anti-malware policy or program require approval from security and documentation of any folders, applications, and processes excluded from anti-malware scanning?",Yes,
"Does the anti-malware policy or program require documentation of any folders, applications, and/or processes excluded from anti-malware scanning?",Yes,
